"entry","protein_families"
"O00487","Peptidase M67A family, PSMD14 subfamily"
"O00488","ZNF593/BUD20 C2H2-type zinc-finger protein family"
"O00501","Claudin family"
"O00505","Importin alpha family"
"O00506","Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily"
"O00507","Peptidase C19 family"
"O00512","BCL9 family"
"O00519","Amidase family"
"O00526","Uroplakin-2 family"
"O00533","Immunoglobulin superfamily, L1/neurofascin/NgCAM family"
"O00541","Pescadillo family"
"O00555","Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1A subfamily"
"O00562","PtdIns transfer protein family, PI transfer class IIA subfamily"
"O00566","MPP10 family"
"O00567","NOP5/NOP56 family"
"O00571","DEAD box helicase family, DDX3/DED1 subfamily"
"O00574","G-protein coupled receptor 1 family"
"O00584","RNase T2 family"
"O00585","Intercrine beta (chemokine CC) family"
"O00587","Glycosyltransferase 31 family"
"O00590","G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily"
"O00591","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRP sub-subfamily"
"O00592","Podocalyxin family"
"O00602","Ficolin lectin family"
"O00622","CCN family"
"O00623","Pex2/pex10/pex12 family"
"O00624","Major facilitator superfamily, Sodium/anion cotransporter family"
"O00625","Pirin family"
"O00626","Intercrine beta (chemokine CC) family"
"O00628","WD repeat peroxin-7 family"
"O00629","Importin alpha family"
"O00631","Sarcolipin family"
"O00712","CTF/NF-I family"
"O00716","E2F/DP family"
"O00743","PPP phosphatase family, PP-6 (PP-V) subfamily"
"O00744","Wnt family"
"O00746","NDK family"
"O00748","Type-B carboxylesterase/lipase family"
"O00750","PI3/PI4-kinase family"
"O00754","Glycosyl hydrolase 38 family"
"O00755","Wnt family"
"O00757","FBPase class 1 family"
"O00762","Ubiquitin-conjugating enzyme family"
"O00764","Pyridoxine kinase family"
"O00767","Fatty acid desaturase type 1 family"
"O14490","SAPAP family"
"O14492","SH2B adapter family"
"O14493","Claudin family"
"O14494","PA-phosphatase related phosphoesterase family"
"O14495","PA-phosphatase related phosphoesterase family"
"O14511","Neuregulin family"
"O14514","G-protein coupled receptor 2 family, LN-TM7 subfamily"
"O14519","CDK2AP family"
"O14520","MIP/aquaporin (TC 1.A.8) family"
"O14521","CybS family"
"O14522","Protein-tyrosine phosphatase family, Receptor class 2B subfamily"
"O14524","NEMP family"
"O14525","Astrotactin family"
"O14526","FCHO family"
"O14529","CUT homeobox family"
"O14531","Metallo-dependent hydrolases superfamily, Hydantoinase/dihydropyrimidinase family"
"O14548","Cytochrome c oxidase VIIa family"
"O14556","Glyceraldehyde-3-phosphate dehydrogenase family"
"O14558","Small heat shock protein (HSP20) family"
"O14559","PX domain-containing GAP family"
"O14561","Acyl carrier protein (ACP) family"
"O14576","Dynein intermediate chain family"
"O14578","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"O14579","COPE family"
"O14594","Aggrecan/versican proteoglycan family"
"O14607","UTX family"
"O14610","G protein gamma family"
"O14613","BORG/CEP family"
"O14617","Adaptor complexes large subunit family"
"O14618","Cu-Zn superoxide dismutase family"
"O14625","Intercrine alpha (chemokine CxC) family"
"O14627","Caudal homeobox family"
"O14628","Krueppel C2H2-type zinc-finger protein family"
"O14633","LCE family"
"O14638","Nucleotide pyrophosphatase/phosphodiesterase family"
"O14640","DSH family"
"O14641","DSH family"
"O14645","Inner dynein arm light chain family"
"O14646","SNF2/RAD54 helicase family"
"O14647","SNF2/RAD54 helicase family"
"O14649","Two pore domain potassium channel (TC 1.A.1.8) family"
"O14653","GOSR2 family"
"O14656","ClpA/ClpB family, Torsin subfamily"
"O14657","ClpA/ClpB family, Torsin subfamily"
"O14662","Syntaxin family"
"O14678","ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily"
"O14681","EI24 family"
"O14684","MAPEG family"
"O14686","Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, TRX/MLL subfamily"
"O14717","Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family"
"O14730","Protein kinase superfamily, RIO-type Ser/Thr kinase family"
"O14732","Inositol monophosphatase superfamily"
"O14733","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily"
"O14734","C/M/P thioester hydrolase family"
"O14735","CDP-alcohol phosphatidyltransferase class-I family"
"O14737","PDCD5 family"
"O14744","Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family"
"O14746","Reverse transcriptase family, Telomerase subfamily"
"O14756","Short-chain dehydrogenases/reductases (SDR) family"
"O14757","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, NIM1 subfamily"
"O14764","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRD sub-subfamily"
"O14770","TALE/MEIS homeobox family"
"O14771","Krueppel C2H2-type zinc-finger protein family"
"O14775","WD repeat G protein beta family"
"O14777","NDC80/HEC1 family"
"O14782","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Kinesin II subfamily"
"O14786","Neuropilin family"
"O14787","Importin beta family, Importin beta-2 subfamily"
"O14788","Tumor necrosis factor family"
"O14791","Apolipoprotein L family"
"O14792","Sulfotransferase 1 family"
"O14793","TGF-beta family"
"O14795","Unc-13 family"
"O14802","RNA polymerase beta' chain family"
"O14804","G-protein coupled receptor 1 family"
"O14807","Small GTPase superfamily, Ras family"
"O14810","Complexin/synaphin family"
"O14813","Paired homeobox family"
"O14815","Peptidase C2 family"
"O14817","Tetraspanin (TM4SF) family"
"O14818","Peptidase T1A family"
"O14828","SCAMP family"
"O14829","PPP phosphatase family"
"O14830","PPP phosphatase family"
"O14832","PhyH family"
"O14842","G-protein coupled receptor 1 family"
"O14843","G-protein coupled receptor 1 family"
"O14862","HIN-200 family"
"O14863","Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily"
"O14867","BZIP family, CNC subfamily"
"O14874","PDK/BCKDK protein kinase family"
"O14879","IFIT family"
"O14880","MAPEG family"
"O14893","Gemin-2 family"
"O14894","L6 tetraspanin family"
"O14896","IRF family"
"O14901","Sp1 C2H2-type zinc-finger protein family"
"O14904","Wnt family"
"O14905","Wnt family"
"O14908","GIPC family"
"O14910","Lin-7 family"
"O14920","Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily"
"O14925","Tim17/Tim22/Tim23 family"
"O14926","Fascin family"
"O14929","HAT1 family"
"O14931","Natural cytotoxicity receptor (NCR) family"
"O14933","Ubiquitin-conjugating enzyme family"
"O14936","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily"
"O14936"," MAGUK family"
"O14939","Phospholipase D family"
"O14948","MiT/TFE family"
"O14949","UQCRQ/QCR8 family"
"O14958","Calsequestrin family"
"O14960","LECT2/MIM-1 family"
"O14965","Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily"
"O14966","Small GTPase superfamily, Rab family"
"O14967","Calreticulin family"
"O14972","VPS26 family"
"O14975","ATP-dependent AMP-binding enzyme family"
"O14976","Protein kinase superfamily, Ser/Thr protein kinase family"
"O14977","Orn/Lys/Arg decarboxylase class-II family, ODC antizyme inhibitor subfamily"
"O14978","Krueppel C2H2-type zinc-finger protein family"
"O14980","Exportin family"
"O14981","SNF2/RAD54 helicase family"
"O14983","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily"
"O14994","Synapsin family"
"O15015","Krueppel C2H2-type zinc-finger protein family"
"O15020","Spectrin family"
"O15021","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"O15027","SEC16 family"
"O15031","Plexin family"
"O15040","WD repeat KIAA0329 family"
"O15041","Semaphorin family"
"O15042","Splicing factor SR family"
"O15047","Class V-like SAM-binding methyltransferase superfamily"
"O15049","N4BP3 family"
"O15054","UTX family"
"O15056","Synaptojanin family"
"O15056"," Inositol 1,4,5-trisphosphate 5-phosphatase family"
"O15060","Krueppel C2H2-type zinc-finger protein family"
"O15061","Intermediate filament family"
"O15066","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Kinesin II subfamily"
"O15067","FGAMS family"
"O15068","MCF2 family"
"O15075","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily"
"O15091","PPR family, P subfamily"
"O15105","Dwarfin/SMAD family"
"O15111","Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily"
"O15116","SnRNP Sm proteins family"
"O15118","Patched family"
"O15120","1-acyl-sn-glycerol-3-phosphate acyltransferase family"
"O15121","Fatty acid desaturase type 1 family, DEGS subfamily"
"O15126","SCAMP family"
"O15127","SCAMP family"
"O15130","FARP (FMRFamide related peptide) family"
"O15131","Importin alpha family"
"O15143","WD repeat ARPC1 family"
"O15144","ARPC2 family"
"O15145","ARPC3 family"
"O15146","Protein kinase superfamily, Tyr protein kinase family"
"O15151","MDM2/MDM4 family"
"O15155","BET1 family"
"O15160","Archaeal Rpo3/eukaryotic RPB3 RNA polymerase subunit family"
"O15162","Phospholipid scramblase family"
"O15165","PMEPA1 family"
"O15173","Cytochrome b5 family, MAPR subfamily"
"O15182","Centrin family"
"O15195","Villin/gelsolin family"
"O15197","Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"
"O15198","Dwarfin/SMAD family"
"O15205","Ubiquitin D family"
"O15209","Krueppel C2H2-type zinc-finger protein family"
"O15212","Prefoldin subunit beta family"
"O15217","GST superfamily, Alpha family"
"O15228","GPAT/DAPAT family"
"O15229","Aromatic-ring hydroxylase family, KMO subfamily"
"O15234","CASC3 family"
"O15239","Complex I NDUFA1 subunit family"
"O15243","OB-RGRP/VPS55 family"
"O15244","Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family"
"O15245","Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family"
"O15247","Chloride channel CLIC family"
"O15254","Acyl-CoA oxidase family"
"O15258","RER1 family"
"O15259","Nephrocystin-1 family"
"O15260","SURF4 family"
"O15263","Beta-defensin family, LAP/TAP subfamily"
"O15264","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily"
"O15265","Ataxin-7 family"
"O15266","Paired homeobox family, Bicoid subfamily"
"O15269","Class-II pyridoxal-phosphate-dependent aminotransferase family"
"O15270","Class-II pyridoxal-phosphate-dependent aminotransferase family"
"O15294","Glycosyltransferase 41 family, O-GlcNAc transferase subfamily"
"O15296","Lipoxygenase family"
"O15297","PP2C family"
"O15303","G-protein coupled receptor 3 family"
"O15305","Eukaryotic PMM family"
"O15315","RecA family, RAD51 subfamily"
"O15318","Eukaryotic RPC7 RNA polymerase subunit family"
"O15327","Inositol 3,4-bisphosphate 4-phosphatase family"
"O15342","V-ATPase e1/e2 subunit family"
"O15344","TRIM/RBCC family"
"O15347","HMGB family"
"O15350","P53 family"
"O15354","G-protein coupled receptor 1 family"
"O15355","PP2C family"
"O15357","Inositol 1,4,5-trisphosphate 5-phosphatase family"
"O15371","EIF-3 subunit D family"
"O15372","EIF-3 subunit H family"
"O15374","Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family"
"O15379","Histone deacetylase family, HD type 1 subfamily"
"O15381","AAA ATPase family"
"O15382","Class-IV pyridoxal-phosphate-dependent aminotransferase family"
"O15389","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family"
"O15391","YY transcription factor family"
"O15392","IAP family"
"O15393","Peptidase S1 family"
"O15397","Importin beta family"
"O15399","Glutamate-gated ion channel (TC 1.A.10.1) family, NR2D/GRIN2D subfamily"
"O15400","Syntaxin family"
"O15427","Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family"
"O15431","Copper transporter (Ctr) (TC 1.A.56) family, SLC31A subfamily"
"O15432","Copper transporter (Ctr) (TC 1.A.56) family, SLC31A subfamily"
"O15438","ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily"
"O15439","ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily"
"O15440","ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily"
"O15444","Intercrine beta (chemokine CC) family"
"O15446","Eukaryotic RPA34 RNA polymerase subunit family"
"O15455","Toll-like receptor family"
"O15457","DNA mismatch repair MutS family"
"O15460","P4HA family"
"O15466","Glycosyltransferase 29 family"
"O15467","Intercrine beta (chemokine CC) family"
"O15484","Peptidase C2 family"
"O15488","Glycosyltransferase 8 family, Glycogenin subfamily"
"O15496","Phospholipase A2 family"
"O15498","Synaptobrevin family"
"O15499","Paired homeobox family, Bicoid subfamily"
"O15503","INSIG family"
"O15511","ARPC5 family"
"O15514","Eukaryotic RPB4 RNA polymerase subunit family"
"O15519","Peptidase C14A family"
"O15520","Heparin-binding growth factors family"
"O15522","NK-2 homeobox family"
"O15523","DEAD box helicase family, DDX3/DED1 subfamily"
"O15524","SOCS1 family"
"O15525","BZIP family, Maf subfamily"
"O15527","Type-1 OGG1 family"
"O15528","Cytochrome P450 family"
"O15529","G-protein coupled receptor 1 family"
"O15530","Protein kinase superfamily, AGC Ser/Thr protein kinase family, PDPK1 subfamily"
"O15535","Krueppel C2H2-type zinc-finger protein family"
"O15540","Calycin superfamily, Fatty-acid binding protein (FABP) family"
"O15547","P2X receptor family"
"O15550","UTX family"
"O15551","Claudin family"
"O15552","G-protein coupled receptor 1 family"
"O15554","Potassium channel KCNN family, KCa3.1/KCNN4 subfamily"
"O42043","Beta type-B retroviral envelope protein family, HERV class-II K(HML-2) env subfamily"
"O43143","DEAD box helicase family, DEAH subfamily, DDX15/PRP43 sub-subfamily"
"O43147","RUTBC family"
"O43148","Class I-like SAM-binding methyltransferase superfamily, mRNA cap 0 methyltransferase family"
"O43151","TET family"
"O43156","Tti1 family"
"O43157","Plexin family"
"O43159","Methyltransferase superfamily, RRP8 family"
"O43167","Krueppel C2H2-type zinc-finger protein family"
"O43169","Cytochrome b5 family"
"O43173","Glycosyltransferase 29 family"
"O43174","Cytochrome P450 family"
"O43175","D-isomer specific 2-hydroxyacid dehydrogenase family"
"O43181","Complex I NDUFS4 subunit family"
"O43186","Paired homeobox family"
"O43187","Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily"
"O43189","Polycomblike family"
"O43193","G-protein coupled receptor 1 family"
"O43194","G-protein coupled receptor 1 family"
"O43196","DNA mismatch repair MutS family"
"O43236","TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Septin GTPase family"
"O43237","Dynein light intermediate chain family"
"O43240","Peptidase S1 family, Kallikrein subfamily"
"O43242","Proteasome subunit S3 family"
"O43248","Abd-B homeobox family"
"O43252","APS kinase family"
"O43252"," Sulfate adenylyltransferase family"
"O43255","SINA (Seven in absentia) family"
"O43257","ZNHIT1 family"
"O43264","ZW10 family"
"O43272","Proline oxidase family"
"O43280","Glycosyl hydrolase 37 family"
"O43281","CAS family"
"O43283","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"
"O43286","Glycosyltransferase 7 family"
"O43290","SNU66/SART1 family"
"O43293","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily"
"O43294","Paxillin family"
"O43296","Krueppel C2H2-type zinc-finger protein family"
"O43298","Krueppel C2H2-type zinc-finger protein family"
"O43300","LRRTM family"
"O43306","Adenylyl cyclase class-4/guanylyl cyclase family"
"O43309","Krueppel C2H2-type zinc-finger protein family"
"O43310","CTIF family"
"O43312","MTSS family"
"O43314","Histidine acid phosphatase family, VIP1 subfamily"
"O43315","MIP/aquaporin (TC 1.A.8) family"
"O43316","Paired homeobox family"
"O43318","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"
"O43320","Heparin-binding growth factors family"
"O43323","Hedgehog family"
"O43353","Protein kinase superfamily, TKL Ser/Thr protein kinase family"
"O43364","Antp homeobox family, Proboscipedia subfamily"
"O43365","Antp homeobox family"
"O43399","TPD52 family"
"O43402","EMC8/EMC9 family"
"O43424","Glutamate-gated ion channel (TC 1.A.10.1) family, GRID2 subfamily"
"O43426","Synaptojanin family"
"O43426"," Inositol 1,4,5-trisphosphate 5-phosphatase family"
"O43432","Eukaryotic initiation factor 4G family"
"O43439","CBFA2T family"
"O43447","Cyclophilin-type PPIase family, PPIase H subfamily"
"O43448","Shaker potassium channel beta subunit family"
"O43451","Glycosyl hydrolase 31 family"
"O43462","Peptidase M50A family"
"O43463","Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar3-9 subfamily"
"O43464","Peptidase S1C family"
"O43474","Krueppel C2H2-type zinc-finger protein family"
"O43482","Mis18 family"
"O43488","Aldo/keto reductase family, Aldo/keto reductase 2 subfamily"
"O43490","Prominin family"
"O43497","Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1G subfamily"
"O43502","RecA family, RAD51 subfamily"
"O43504","LAMTOR5 family"
"O43505","Glycosyltransferase 49 family"
"O43508","Tumor necrosis factor family"
"O43511","SLC26A/SulP transporter (TC 2.A.53) family"
"O43513","Mediator complex subunit 7 family"
"O43516","Verprolin family"
"O43520","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
"O43521","Bcl-2 family"
"O43525","Potassium channel family, KQT (TC 1.A.1.15) subfamily, Kv7.3/KCNQ3 sub-subfamily"
