"""uncharacterized"" (is used in Protein name UniProt)",Bait detected+enriched (=self loop),Cluster ID (Markov),CPX - Recommended name,Cross-reference (ComplexPortal),Gene names  (UniP-SGD-primary or ordered locus),Gene names  (UniP-SGD-primary+synonym or ordered locus),Is in GFP library,name,SGD Brief Description,SGD ID,SGD Name,SGD Qualifier,shared name,Subcellular location [CC],TaBaQ (relative abundance),Uncharacterized (SGD Qualifier+Uniprot combined),UniProt ID
FALSE,FALSE,60,DASH complex,CPX-1041,SPC34,SPC34,TRUE,YKR037C,Essential subunit of the Dam1 complex (aka DASH complex),S000001745;,Spindle Pole Component,Verified,YKR037C,"Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:14562095}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14562095}. Note=Associates with the mitotic spindle and the kinetochore.",,FALSE,P36131
FALSE,FALSE,60,DASH complex,CPX-1041,DAM1,DAM1,FALSE,YGR113W,Essential subunit of the Dam1 complex (aka DASH complex),S000003345;,Duo1 And Mps1 interacting,Verified,YGR113W,"Nucleus. Cytoplasm, cytoskeleton, spindle. Chromosome, centromere, kinetochore. Note=Associates with the mitotic spindle and the kinetochore.",,FALSE,P53267
FALSE,TRUE,60,DASH complex,CPX-1041,DAD3,DAD3,TRUE,YBR233W-A,Essential subunit of the Dam1 complex (aka DASH complex),S000007595;,Duo1 And Dam1 interacting,Verified,YBR233W-A,"Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:14562095}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14562095}. Note=Associates with the mitotic spindle and the kinetochore.",19.85616,FALSE,P69850
FALSE,FALSE,60,,,PBP2,PBP2,TRUE,YBR233W,RNA binding protein,S000000437;,Pbp1p Binding Protein,Verified,YBR233W,Nucleus {ECO:0000305}.,18.43006,FALSE,P38151
FALSE,FALSE,60,DASH complex,CPX-1041,HSK3,HSK3,FALSE,YKL138C-A,Essential subunit of the Dam1 complex (aka DASH complex),S000028421;,Helper of ASK1,Verified,YKL138C-A,"Nucleus. Cytoplasm, cytoskeleton, spindle. Chromosome, centromere, kinetochore. Note=Associates with the mitotic spindle and the kinetochore.",,FALSE,P69852
FALSE,FALSE,60,DASH complex,CPX-1041,SPC19,SPC19,TRUE,YDR201W,Essential subunit of the Dam1 complex (aka DASH complex),S000002609;,Spindle Pole Component,Verified,YDR201W,"Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:14562095}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14562095}. Note=Associates with the mitotic spindle and the kinetochore.",,FALSE,Q03954
FALSE,TRUE,60,DASH complex,CPX-1041,DAD4,DAD4;HSK2,TRUE,YDR320C-A,Essential subunit of the Dam1 complex (aka DASH complex),S000007604;,Duo1 And Dam1 interacting,Verified,YDR320C-A,"Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:14562095}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14562095}. Note=Associates with the mitotic spindle and the kinetochore.",18.03953,FALSE,P69851
FALSE,TRUE,60,DASH complex,CPX-1041,DAD2,DAD2;HSK1,TRUE,YKR083C,Essential subunit of the Dam1 complex (aka DASH complex),S000001791;,Duo1 And Dam1 interacting,Verified,YKR083C,"Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:14562095}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14562095}. Note=Associates with the mitotic spindle and the kinetochore.",19.47285,FALSE,P36162
FALSE,FALSE,60,,,SWA2,SWA2;AUX1;BUD24,TRUE,YDR320C,Auxilin-like protein involved in vesicular transport,S000002728;,Synthetic lethal With Arf1,Verified,YDR320C,Cytoplasm {ECO:0000269|PubMed:11084334}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11084334};Peripheral membrane protein {ECO:0000269|PubMed:11084334}.,20.7034,FALSE,Q06677
FALSE,FALSE,60,DASH complex,CPX-1041,DAD1,DAD1,TRUE,YDR016C,Essential subunit of the Dam1 complex (aka DASH complex),S000002423;,Duo1 And Dam1 interacting,Verified,YDR016C,"Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:14562095}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14562095}. Note=Associates with the mitotic spindle and the kinetochore.",18.90994,FALSE,Q12248
FALSE,TRUE,60,DASH complex,CPX-1041,ASK1,ASK1,TRUE,YKL052C,Essential subunit of the Dam1 complex (aka DASH complex),S000001535;,Associated with Spindles and Kinetochores,Verified,YKL052C,"Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:14562095}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14562095}. Note=Associates with the mitotic spindle and the kinetochore.",20.61055,FALSE,P35734
FALSE,TRUE,11,,,BMH1,BMH1,TRUE,YER177W,"14-3-3 protein, major isoform",S000000979;,Brain Modulosignalin Homolog,Verified,YER177W,,24.31422,FALSE,P29311
FALSE,TRUE,11,,,GIC2,GIC2,TRUE,YDR309C,Rho-family GTPase interacting protein and Cdc42p effector,S000002717;,GTPase Interactive Component,Verified,YDR309C,"Bud neck {ECO:0000250}. Bud tip {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}.",19.08862,FALSE,Q06648
FALSE,FALSE,11,,,ROG3,ROG3,FALSE,YFR022W,Alpha-arrestin involved in ubiquitin-dependent endocytosis,S000001918;,Revertant Of Glycogen synthase kinase mutation,Verified,YFR022W,,,FALSE,P43602
FALSE,TRUE,11,HICS complex,CPX-1140,CYK3,CYK3,TRUE,YDL117W,SH3-domain protein located in the bud neck and cytokinetic actin ring,S000002275;,CYtoKinesis,Verified,YDL117W,Cytoplasm. Bud neck. Note=Found in association with the actin ring and the cortex at the mother-bud neck.,19.39044,FALSE,Q07533
FALSE,TRUE,11,,,BOI1,BOI1;BOB1;GIN7,TRUE,YBL085W,"Protein involved in polar growth, functionally redundant with Boi2p",S000000181;,Bem1 (One) Interacting protein,Verified,YBL085W,,19.61076,FALSE,P38041
FALSE,TRUE,11,,,FRK1,FRK1,TRUE,YPL141C,Protein kinase of unknown cellular role,S000006062;,Fatty acyl-CoA synthetase and RNA processing-associated Kinase,Verified,YPL141C,Cytoplasm {ECO:0000269|PubMed:14562095}.,19.47729,FALSE,Q03002
FALSE,TRUE,11,,,KKQ8,KKQ8,TRUE,YKL168C,Putative serine/threonine protein kinase with unknown cellular role,S000001651;,,Verified,YKL168C,Cytoplasm {ECO:0000269|PubMed:14562095}.,19.45272,FALSE,P36004
FALSE,TRUE,11,,,KSP1,KSP1,TRUE,YHR082C,Serine/threonine protein kinase,S000001124;,Kinase Suppressing Prp20-10,Verified,YHR082C,Nucleus.,21.07775,FALSE,P38691
FALSE,TRUE,11,,,RCN2,RCN2;WSP1,TRUE,YOR220W,Protein of unknown function,S000005746;,Regulator of CalciNeurin,Verified,YOR220W,Cytoplasm {ECO:0000269|PubMed:14562095}.,19.20579,FALSE,Q12044
FALSE,TRUE,11,,,DSF2,DSF2,TRUE,YBR007C,Deletion suppressor of mpt5 mutation,S000000211;,Deletion Suppressor of mptFive/pufFive mutation,Verified,YBR007C,,19.17129,FALSE,P38213
FALSE,FALSE,11,,,PTK1,PTK1;POT1;STK1,FALSE,YKL198C,Putative serine/threonine protein kinase,S000001681;,Putative serine/Threonine protein Kinase,Verified,YKL198C,,,FALSE,P36002
FALSE,TRUE,11,,,KIP2,KIP2,TRUE,YPL155C,Kinesin-related motor protein involved in mitotic spindle positioning,S000006076;,KInesin related Protein,Verified,YPL155C,"Cytoplasm, cytoskeleton {ECO:0000305}.",18.90903,FALSE,P28743
FALSE,FALSE,11,,,SYT1,SYT1,FALSE,YPR095C,Guanine nucleotide exchange factor (GEF) for Arf proteins,S000006299;,Suppressor of ypt3,Verified,YPR095C,Cytoplasm {ECO:0000269|PubMed:15023338}.,,FALSE,Q06836
FALSE,FALSE,11,,,GAT1,GAT1,TRUE,YFL021W,Transcriptional activator of nitrogen catabolite repression genes,S000001873;,,Verified,YFL021W,Nucleus {ECO:0000305}.,19.05511,FALSE,P43574
FALSE,TRUE,11,,,MIG1,MIG1;CAT4;SSN1,TRUE,YGL035C,Transcription factor involved in glucose repression,S000003003;,Multicopy Inhibitor of GAL gene expression,Verified,YGL035C,Nucleus.,19.74098,FALSE,P27705
FALSE,TRUE,11,,,PSP1,PSP1;GIN5,TRUE,YDR505C,Asn and gln rich protein of unknown function,S000002913;,Polymerase SuPpressor,Verified,YDR505C,Cytoplasm. Mitochondrion.,20.59719,FALSE,P50896
FALSE,TRUE,11,,,BMH2,BMH2,TRUE,YDR099W,"14-3-3 protein, minor isoform",S000002506;,Brain Modulosignalin Homolog,Verified,YDR099W,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,23.56908,FALSE,P34730
FALSE,TRUE,11,,,SFL1,SFL1,TRUE,YOR140W,Transcriptional repressor and activator,S000005666;,Suppressor gene for FLocculation,Verified,YOR140W,Nucleus {ECO:0000269|PubMed:14562095}.,20.32222,FALSE,P20134
FALSE,TRUE,11,SLIK (SAGA-like) complex,CPX-675,RTG2,RTG2,TRUE,YGL252C,Sensor of mitochondrial dysfunction,S000003221;,ReTroGrade regulation,Verified,YGL252C,,22.38906,FALSE,P32608
TRUE,TRUE,11,,,YLR149C,YLR149C,TRUE,YLR149C,Protein of unknown function,S000004139;,,Verified,YLR149C,,18.09541,TRUE,Q99296
FALSE,TRUE,11,,,NTH1,NTH1;NTH,TRUE,YDR001C,"Neutral trehalase, degrades trehalose",S000002408;,Neutral TreHalase,Verified,YDR001C,Cytoplasm.,21.86854,FALSE,P32356
FALSE,TRUE,11,,,PUF2,PUF2,TRUE,YPR042C,PUF family mRNA-binding protein,S000006246;,PUmilio-homology domain Family,Verified,YPR042C,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15024427}. Note=Localizes to foci enriched near the periphery of the cell.",20.51205,FALSE,Q12221
FALSE,TRUE,11,,,RIM15,RIM15;TAK1,TRUE,YFL033C,Protein kinase involved in cell proliferation in response to nutrients,S000001861;,Regulator of IME2,Verified,YFL033C,Cytoplasm {ECO:0000269|PubMed:16308562}. Nucleus {ECO:0000269|PubMed:16308562}.,18.62324,FALSE,P43565
FALSE,FALSE,11,,,SBE2,SBE2,FALSE,YDR351W,Protein required for bud growth,S000002759;,Suppressor of BEm4,Verified,YDR351W,Golgi apparatus {ECO:0000269|PubMed:10679005}.,,FALSE,P42223
FALSE,TRUE,11,,,BOI2,BOI2;BEB1,TRUE,YER114C,Protein involved in polar growth,S000000916;,Bem1 (One) Interacting protein,Verified,YER114C,"Cytoplasm, cytoskeleton.",19.55498,FALSE,P39969
FALSE,TRUE,11,,,MSN2,MSN2,TRUE,YMR037C,Stress-responsive transcriptional activator,S000004640;,Multicopy suppressor of SNF1 mutation,Verified,YMR037C,Cytoplasm. Nucleus.,18.12621,FALSE,P33748
FALSE,TRUE,11,ATG1 kinase complex,CPX-1676,ATG13,ATG13;APG13,TRUE,YPR185W,Regulatory subunit of the Atg1p signaling complex,S000006389;,AuTophaGy related,Verified,YPR185W,"Cytoplasm {ECO:0000269|PubMed:14562095}. Preautophagosomal structure {ECO:0000269|PubMed:17295840, ECO:0000269|PubMed:21468027}.",19.74988,FALSE,Q06628
FALSE,TRUE,11,,,MGS1,MGS1,TRUE,YNL218W,Protein with DNA-dependent ATPase and ssDNA annealing activities,S000005162;,Maintenance of Genome Stability,Verified,YNL218W,Nucleus {ECO:0000305}.,16.75284,FALSE,P40151
FALSE,TRUE,11,,,KCS1,KCS1,TRUE,YDR017C,Inositol hexakisphosphate and inositol heptakisphosphate kinase,S000002424;,pKC1 Suppressor,Verified,YDR017C,Cytoplasm {ECO:0000269|PubMed:14562095}.,20.42484,FALSE,Q12494
FALSE,TRUE,11,,,KIN1,KIN1,TRUE,YDR122W,S/T protein kinase,S000002529;,KINase,Verified,YDR122W,Cytoplasm. Cell membrane;Peripheral membrane protein;Cytoplasmic side.,19.27038,FALSE,P13185
FALSE,FALSE,11,MYO2-VAC17-VAC8 transport complex,CPX-1304,VAC17,VAC17,FALSE,YCL063W,Phosphoprotein involved in vacuole inheritance,S000000568;,VACuole related,Verified,YCL063W,Vacuole membrane {ECO:0000269|PubMed:12594460};Peripheral membrane protein {ECO:0000269|PubMed:12594460};Cytoplasmic side {ECO:0000269|PubMed:12594460}.,,FALSE,P25591
FALSE,TRUE,11,,,PUF3,PUF3,TRUE,YLL013C,Protein of the mitochondrial outer surface,S000003936;,PUmilio-homology domain Family,Verified,YLL013C,Mitochondrion outer membrane;Peripheral membrane protein;Cytoplasmic side. Cytoplasm. Note=Localizes to multiple discrete foci in the cytoplasm.,21.44612,FALSE,Q07807
FALSE,TRUE,11,,,PFK26,PFK26,TRUE,YIL107C,6-phosphofructo-2-kinase,S000001369;,6-PhosphoFructo-2-Kinase,Verified,YIL107C,,18.39399,FALSE,P40433
FALSE,TRUE,11,,,KIN2,KIN2,TRUE,YLR096W,S/T protein kinase,S000004086;,KINase,Verified,YLR096W,Cytoplasm. Cell membrane;Peripheral membrane protein;Cytoplasmic side.,18.19183,FALSE,P13186
FALSE,FALSE,11,,,KIN82,KIN82;FPK2,FALSE,YCR091W,Putative serine/threonine protein kinase,S000000687;,protein KINase,Verified,YCR091W,,,FALSE,P25341
FALSE,TRUE,11,,,ECM25,ECM25,TRUE,YJL201W,Non-essential protein of unknown function,S000003737;,ExtraCellular Mutant,Verified,YJL201W,Cytoplasm {ECO:0000269|PubMed:14562095}.,21.15005,FALSE,P32525
FALSE,TRUE,11,,,SAP1,SAP1,TRUE,YER047C,Putative ATPase of the AAA family,S000000849;,Sin1 Associated Protein,Verified,YER047C,,19.0674,FALSE,P39955
FALSE,TRUE,11,,,MSC3,MSC3,TRUE,YLR219W,Protein of unknown function,S000004209;,Meiotic Sister-Chromatid recombination,Verified,YLR219W,Cell membrane {ECO:0000269|PubMed:14562095};Peripheral membrane protein {ECO:0000269|PubMed:14562095}. Note=Cell periphery.,18.78683,FALSE,Q05812
FALSE,TRUE,11,ATG1 kinase complex,CPX-1676,ATG1,ATG1;APG1;AUT3;CVT10,TRUE,YGL180W,Protein serine/threonine kinase,S000003148;,AuTophaGy related,Verified,YGL180W,Cytoplasm. Preautophagosomal structure membrane;Peripheral membrane protein. Note=Formes punctate structures in starvation conditions only when ATG13 and ATG17 were both present. Localizes to both the isolation membrane (IM) and the vacuole-isolation membrane contact site (VICS) during IM expansion. The IM is a membrane sac generated from the pre-autophagosomal structure that ultimately expands to become a mature autophagosome.,19.51034,FALSE,P53104
FALSE,TRUE,11,,,FPK1,FPK1,TRUE,YNR047W,Ser/Thr protein kinase,S000005330;,FliPase Kinase 1,Verified,YNR047W,Cytoplasm {ECO:0000269|PubMed:14562095}. Cell membrane {ECO:0000269|PubMed:14562095};Peripheral membrane protein {ECO:0000269|PubMed:14562095}.,20.54556,FALSE,P53739
FALSE,FALSE,11,,,TES1,TES1;PTE1,FALSE,YJR019C,Peroxisomal acyl-CoA thioesterase,S000003780;,ThioESterase,Verified,YJR019C,Peroxisome {ECO:0000269|PubMed:10092594}.,,FALSE,P41903
FALSE,TRUE,11,,,MLF3,MLF3;YMK1,TRUE,YNL074C,Serine-rich protein of unknown function,S000005018;,Multicopy suppressor of LeFlunomide sensitivity,Verified,YNL074C,Cytoplasm {ECO:0000269|PubMed:14562095}.,18.9629,FALSE,P32047
FALSE,TRUE,11,,,RTS3,RTS3,TRUE,YGR161C,Putative component of the protein phosphatase type 2A complex,S000003393;,,Uncharacterized,YGR161C,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,16.68437,TRUE,P53289
FALSE,TRUE,11,,,MKS1,MKS1;LYS80,TRUE,YNL076W,Pleiotropic negative transcriptional regulator,S000005020;,Multicopy Kinase Suppressor,Verified,YNL076W,Nucleus.,20.15544,FALSE,P34072
FALSE,TRUE,11,,,PTP3,PTP3,TRUE,YER075C,Phosphotyrosine-specific protein phosphatase,S000000877;,Protein Tyrosine Phosphatase,Verified,YER075C,Cytoplasm {ECO:0000269|PubMed:14562095}.,18.25189,FALSE,P40048
FALSE,FALSE,11,,,SEF1,SEF1,FALSE,YBL066C,Putative transcription factor,S000000162;,Suppressor of Essential Function,Verified,YBL066C,Nucleus {ECO:0000305}.,,FALSE,P34228
FALSE,TRUE,11,,,RGA2,RGA2,TRUE,YDR379W,GTPase-activating protein for polarity-establishment protein Cdc42p,S000002787;,Rho GTPase Activating Protein,Verified,YDR379W,,19.53285,FALSE,Q06407
FALSE,TRUE,421,,,ARF2,ARF2,TRUE,YDL137W,ADP-ribosylation factor,S000002296;,ADP-Ribosylation Factor,Verified,YDL137W,Golgi apparatus {ECO:0000269|PubMed:14562095}.,19.79503,FALSE,P19146
FALSE,FALSE,421,,,RAD51,RAD51,TRUE,YER095W,Strand exchange protein,S000000897;,RADiation sensitive,Verified,YER095W,Nucleus {ECO:0000269|PubMed:16818607}. Chromosome {ECO:0000269|PubMed:16818607}. Note=Localizes as foci on meiotic chromosomes.,16.17785,FALSE,P25454
FALSE,TRUE,557,"Small ribosomal subunit processome, variant 1;Small ribosomal subunit processome, variant 2;Small ribosomal subunit processome, variant 3",CPX-1604;CPX-1607;CPX-1608,DHR2,DHR2,TRUE,YKL078W,Predominantly nucleolar DEAH-box ATP-dependent RNA helicase,S000001561;,DEAH-box RNA helicase,Verified,YKL078W,"Nucleus, nucleolus.",18.93931,FALSE,P36009
FALSE,TRUE,557,,,UBP10,UBP10;DOT4,TRUE,YNL186W,"Ubiquitin-specific protease, deubiquitinates Ub-protein moieties",S000005130;,UBiquitin-specific Protease,Verified,YNL186W,"Nucleus {ECO:0000269|PubMed:10490600}. Chromosome, telomere {ECO:0000269|PubMed:15721261}. Nucleus, nucleolus {ECO:0000269|PubMed:22902402}. Note=Preferentially localizes to silent chromatin (PubMed:15988024). {ECO:0000269|PubMed:15988024}.",21.15612,FALSE,P53874
FALSE,TRUE,377,,,PRO2,PRO2,TRUE,YOR323C,Gamma-glutamyl phosphate reductase,S000005850;,PROline requiring,Verified,YOR323C,,20.15966,FALSE,P54885
TRUE,FALSE,377,,,YGL117W,YGL117W,FALSE,YGL117W,Putative protein of unknown function,S000003085;,,Uncharacterized,YGL117W,,,TRUE,P53133
FALSE,TRUE,377,,,WRS1,WRS1,TRUE,YOL097C,Cytoplasmic tryptophanyl-tRNA synthetase,S000005457;,W (tryptophan) RS (tRNA synthetase),Verified,YOL097C,Cytoplasm.,22.58309,FALSE,Q12109
TRUE,TRUE,209,,,YGL108C,YGL108C,TRUE,YGL108C,"Protein of unknown function, predicted to be palmitoylated",S000003076;,,Verified,YGL108C,Cell membrane {ECO:0000269|PubMed:14562095};Lipid-anchor {ECO:0000269|PubMed:14562095}.,18.13117,TRUE,P53139
FALSE,TRUE,209,,,LNP1,LNP1,TRUE,YHR192W,Lunapark family member involved in ER network formation,S000001235;,LuNaPark family member,Verified,YHR192W,Endoplasmic reticulum membrane {ECO:0000269|PubMed:22729086};Multi-pass membrane protein {ECO:0000269|PubMed:22729086}. Note=Localizes to three-way ER tubule junctions. This localization is SEY1-dependent.,19.3391,FALSE,P38878
FALSE,FALSE,209,,,HSP30,HSP30,TRUE,YCR021C,Negative regulator of the H(+)-ATPase Pma1p,S000000615;,Heat Shock Protein,Verified,YCR021C,Membrane;Multi-pass membrane protein.,22.88744,FALSE,P25619
FALSE,TRUE,209,,,PGK1,PGK1,TRUE,YCR012W,3-phosphoglycerate kinase,S000000605;,3-PhosphoGlycerate Kinase,Verified,YCR012W,Cytoplasm {ECO:0000269|PubMed:11502169}. Mitochondrion {ECO:0000269|PubMed:16823961}.,25.62224,FALSE,P00560
FALSE,TRUE,352,,,IMD2,IMD2;PUR5,TRUE,YHR216W,Inosine monophosphate dehydrogenase,S000001259;,IMP Dehydrogenase,Verified,YHR216W,"Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03156, ECO:0000269|PubMed:14562095}.",21.8003,FALSE,P38697
FALSE,TRUE,352,,,IMD4,IMD4,TRUE,YML056C,Inosine monophosphate dehydrogenase,S000004520;,IMP Dehydrogenase,Verified,YML056C,"Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03156, ECO:0000269|PubMed:14562095}.",23.65755,FALSE,P50094
FALSE,TRUE,352,,,IMD3,IMD3,TRUE,YLR432W,Inosine monophosphate dehydrogenase,S000004424;,IMP Dehydrogenase,Verified,YLR432W,"Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03156, ECO:0000269|PubMed:14562095}.",24.48252,FALSE,P50095
FALSE,TRUE,36,Cleavage and polyadenylation specificity factor complex,CPX-1053,CFT2,CFT2;YDH1,TRUE,YLR115W,Subunit of the mRNA cleavage and polyadenlylation factor (CPF),S000004105;,Cleavage Factor Two,Verified,YLR115W,"Nucleus {ECO:0000269|PubMed:12819204, ECO:0000269|PubMed:14562095}.",20.14532,FALSE,Q12102
FALSE,TRUE,36,Cleavage and polyadenylation specificity factor complex,CPX-1053,YSH1,YSH1;BRR5,TRUE,YLR277C,Endoribonuclease,S000004267;,Yeast Seventy-three Homolog,Verified,YLR277C,"Nucleus {ECO:0000269|PubMed:12819204, ECO:0000269|PubMed:14562095}.",20.22967,FALSE,Q06224
FALSE,TRUE,36,Cleavage and polyadenylation specificity factor complex,CPX-1053,PFS2,PFS2,TRUE,YNL317W,Integral subunit of the pre-mRNA CPF complex,S000005261;,Polyadenylation Factor Subunit,Verified,YNL317W,"Nucleus {ECO:0000269|PubMed:12819204, ECO:0000269|PubMed:14562095}.",18.6507,FALSE,P42841
FALSE,TRUE,36,Cleavage and polyadenylation specificity factor complex,CPX-1053,CFT1,CFT1;YHH1,TRUE,YDR301W,RNA-binding subunit of the mRNA cleavage and polyadenylation factor,S000002709;,Cleavage Factor Two,Verified,YDR301W,"Nucleus {ECO:0000269|PubMed:12819204, ECO:0000269|PubMed:14562095}.",19.31597,FALSE,Q06632
FALSE,FALSE,36,Cleavage and polyadenylation specificity factor complex,CPX-1053,FIP1,FIP1,FALSE,YJR093C,Subunit of cleavage polyadenylation factor (CPF),S000003853;,Factor Interacting with Poly(A) polymerase,Verified,YJR093C,Nucleus {ECO:0000269|PubMed:12819204}.,,FALSE,P45976
FALSE,TRUE,36,Cleavage and polyadenylation specificity factor complex,CPX-1053,PTA1,PTA1,TRUE,YAL043C,Subunit of holo-CPF,S000000041;,Pre-Trna Accumulation,Verified,YAL043C,Nucleus {ECO:0000269|PubMed:12819204}.,20.8963,FALSE,Q01329
FALSE,TRUE,36,Cleavage and polyadenylation specificity factor complex,CPX-1053,SYC1,SYC1,TRUE,YOR179C,Subunit of the APT subcomplex of cleavage and polyadenylation factor,S000005705;,Similar to Ysh1 C-terminal,Verified,YOR179C,"Nucleus {ECO:0000269|PubMed:12819204, ECO:0000269|PubMed:14562095}.",19.82539,FALSE,Q08553
